zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus
59420,32.5,20.9,221,176
59421,34.9,23.1,2057,1663
59422,31.1,24.3,2738,2141
59424,29.0,22.5,90,75
59425,35.0,26.6,3515,2704
59427,37.1,29.6,5091,3678
59430,30.3,22.1,393,330
59432,40.5,33.2,142,121
59433,32.4,25.3,545,440
59434,37.1,28.7,473,347
59435,37.0,26.9,83,65
59436,30.9,23.7,1961,1446
59440,35.2,22.7,225,163
59441,30.0,19.2,92,70
59442,33.1,22.5,1792,1421
59443,36.6,25.1,653,475
59444,35.2,27.1,271,206
59446,36.0,25.7,505,412
59447,32.5,25.2,262,197
59448,44.2,35.8,718,454
59450,36.4,25.7,463,363
59451,31.1,21.2,230,176
59452,32.1,25.4,495,409
59453,31.4,25.3,315,247
59454,37.5,30.1,209,163
59456,33.9,24.9,333,228
59457,31.5,24.7,8894,7092
59460,36.5,26.5,203,163
59462,33.2,25.0,177,132
59463,33.2,23.5,197,170
59464,29.4,20.9,607,456
59465,31.4,23.5,62,51
59466,34.2,31.3,103,83
59468,33.1,24.6,775,570
59469,32.5,25.8,126,112
59471,30.7,21.6,253,191
59472,34.2,21.6,709,533
59474,35.4,26.2,3476,2828
59477,37.0,24.6,431,316
59479,31.8,24.6,819,683
59480,35.1,21.3,334,265
59482,37.9,29.0,561,423
59483,36.0,24.7,445,342
59484,38.8,30.0,199,156
59485,36.5,25.1,879,657
59486,40.4,35.0,1313,1002
59487,35.9,24.7,1252,950
59489,30.0,20.7,357,270
59501,37.0,23.9,12676,9563
59520,35.7,25.5,1102,831
59521,45.2,31.9,3820,2332
59522,33.6,28.6,1371,1064
59523,35.3,21.7,2114,1614
59524,43.7,29.0,753,496
59525,38.8,25.6,267,195
59526,46.0,32.9,2649,1756
59527,45.4,30.6,1177,782
59528,37.5,25.9,207,170
59529,36.4,22.7,181,145
59530,35.6,24.7,141,111
59531,34.2,28.0,279,214
59532,39.3,25.3,159,121
59537,38.4,24.7,105,78
59538,38.7,24.5,2960,2273
59540,37.3,25.0,492,365
59542,36.8,22.8,392,321
59544,40.1,25.3,162,107
59546,40.0,26.2,131,116
59601,30.1,17.4,30848,24912
59602,31.8,18.8,29390,22447
59625,20.3,12.8,294,283
59631,32.8,23.8,234,191
59632,33.6,22.1,2010,1600
59633,29.3,17.3,248,181
59634,31.3,18.7,5393,4157
59635,33.5,20.5,7738,5790
59638,34.5,22.4,770,605
59639,33.0,22.3,1230,1050
59640,31.4,16.7,113,91
59643,30.1,20.0,544,411
59644,31.1,22.9,4418,3548
59645,33.1,23.2,1699,1413
59647,29.2,19.9,275,223
59648,30.6,19.2,618,524
59701,32.8,23.1,33937,27197
59710,30.1,20.7,288,246
59711,32.4,25.1,9234,7641
59713,32.6,23.4,236,192
59714,24.6,14.9,22333,16636
59715,22.0,13.6,37286,31898
59716,23.9,12.5,2924,2508
59718,22.8,13.5,43831,34903
59720,26.3,16.4,301,271
59721,32.2,21.8,434,360
59722,36.8,25.7,5697,4858
59724,28.4,24.2,107,81
59725,28.3,21.0,8069,6433
59727,30.9,20.0,260,209
59728,34.1,24.3,335,279
59729,27.9,17.3,2684,2291
59730,23.4,13.4,2154,1731
59731,34.8,24.4,211,181
59732,30.0,22.6,159,123
59733,33.2,23.0,151,127
59735,30.2,20.2,339,272
59736,29.6,22.3,120,102
59739,29.0,22.9,325,274
59740,29.4,19.6,611,505
59741,24.6,15.9,5397,3956
59743,29.8,20.2,190,157
59745,30.1,18.9,119,86
59746,28.9,23.6,131,110
59747,28.8,21.2,147,128
59748,31.1,17.4,255,204
59749,29.1,21.5,1640,1367
59750,31.9,18.9,405,306
59751,30.7,19.9,173,132
59752,27.5,18.0,4535,3390
59754,29.5,20.2,903,735
59755,29.5,22.2,260,229
59756,32.8,23.0,346,332
59758,25.5,16.9,1932,1541
59759,34.6,24.8,3467,2847
59760,26.3,17.9,269,215
59761,29.0,22.3,267,223
59762,30.1,24.1,287,246
59801,27.0,16.8,30629,25268
59802,26.8,16.4,19892,16591
59803,25.3,14.7,17203,13178
59804,26.3,17.4,8193,6558
59808,26.9,17.5,21546,17027
59812,18.5,14.5,1195,1190
59820,31.3,20.6,1562,1253
59821,34.4,23.9,2563,1945
59823,28.5,18.8,1684,1360
59824,35.0,26.1,1575,1224
59825,28.2,18.7,2450,1939
59826,29.1,21.1,497,432
59827,32.7,22.3,278,238
59828,32.0,20.2,6265,4881
59829,33.0,23.0,2489,2148
59830,38.7,25.6,210,178
59831,39.3,31.1,467,366
59832,31.3,24.7,764,617
59833,31.8,19.4,5825,4648
59834,27.9,17.7,2410,1825
59837,31.5,23.5,400,324
59840,31.9,21.4,14466,11918
59841,30.9,18.5,805,428
59842,37.8,23.7,99,81
59843,35.3,23.6,244,198
59844,35.4,26.9,664,538
59845,38.6,31.9,1254,1053
59846,28.4,18.3,1641,1302
59847,28.7,17.9,6112,4644
59848,35.5,31.8,140,112
59851,26.0,16.1,189,152
59853,36.2,26.5,846,690
59854,34.0,24.4,225,206
59855,36.5,25.7,743,462
59856,34.5,24.9,238,203
59858,30.4,23.5,1679,1377
59859,34.3,25.1,3683,2977
59860,31.7,22.4,11309,9002
59863,36.2,26.0,85,71
59864,35.4,26.6,7348,5301
59865,35.1,25.9,3338,2470
59866,36.0,24.5,1019,831
59868,29.3,20.4,2087,1793
59870,31.9,20.0,11245,9024
59871,31.5,23.9,249,225
59872,36.3,25.2,2406,2009
59873,34.1,25.7,3416,2842
59874,34.9,26.0,1695,1417
59875,32.7,21.3,3721,3090
59901,31.5,20.0,57900,44279
59910,32.8,23.6,506,419
59911,29.5,18.3,8722,7318
59912,31.5,20.1,15395,11962
59913,34.4,23.8,727,578
59914,31.7,24.1,377,300
59915,34.5,23.7,464,333
59916,34.5,25.9,188,173
59917,38.7,28.8,4274,3483
59918,34.1,22.5,492,398
59919,34.9,23.6,828,666
59920,33.0,21.2,1880,1485
59922,30.8,19.3,2643,2095
59923,38.0,26.8,9743,7943
59925,33.8,22.9,1633,1264
59926,34.7,24.1,439,366
59927,33.4,23.1,413,335
59928,33.5,24.9,171,154
59929,28.8,20.6,227,166
59930,35.9,24.8,1184,876
59931,27.6,19.9,297,263
59932,31.0,19.7,1558,1224
59934,34.4,22.6,523,448
59935,39.9,29.9,3432,2864
59936,34.0,25.1,392,334
59937,29.7,16.6,14354,11715
60002,34.4,19.0,24086,18603
60004,25.5,17.1,52546,40609
60005,25.7,17.7,30221,24116
60007,27.0,20.0,33670,27534
60008,27.3,20.5,22760,18125
60010,26.7,15.5,46365,35749
60012,30.9,19.4,10916,8277
60013,31.3,18.0,26144,20125
60014,31.8,19.8,48275,36893
60015,28.4,13.2,28013,21026
60016,26.1,22.1,61888,50740
60018,28.9,24.9,30051,23384
60020,35.9,22.2,10967,8938
60021,30.5,17.0,5404,4190
60022,23.7,12.0,8482,6097
60025,24.6,17.8,41256,31726
60026,22.3,17.1,14518,11439
60029,24.7,13.8,514,376
60030,32.0,17.4,36346,28518
60031,31.9,17.8,37650,29374
60033,35.6,27.5,13581,10036
60034,33.5,23.1,2148,1653
60035,29.3,14.2,30152,23309
60040,36.2,23.9,5102,3890
60041,36.2,22.1,9140,7311
60042,34.0,20.6,8433,6686
60043,23.1,11.3,2514,1733
60044,28.8,14.7,10244,7855
60045,28.0,13.6,21026,16448
60046,33.3,18.2,34690,26302
60047,29.4,14.6,43944,33142
60048,29.9,14.7,29353,22279
60050,32.9,22.2,31854,25108
60051,33.3,20.6,24649,19639
60053,23.3,21.0,25297,20259
60056,26.0,19.1,57177,44457
60060,33.2,20.5,37599,29142
60061,28.1,15.7,27581,20878
60062,22.7,16.1,42751,33482
60064,44.6,35.2,15206,10957
60067,25.2,16.6,39324,31191
60068,24.8,15.4,39672,30273
60069,26.6,15.3,8735,6998
60070,27.0,20.7,15840,12509
60071,33.7,22.2,3891,3185
60072,33.4,22.2,988,791
60073,36.7,24.4,61721,44500
60074,28.8,21.7,37705,29616
60076,24.6,20.5,34295,26690
60077,25.6,23.2,28856,23168
60081,33.3,20.3,9396,7439
60083,33.6,20.1,9564,7573
60084,34.1,19.0,17029,13088
60085,40.6,30.9,71609,52184
60087,38.9,27.9,28207,21195
60088,27.3,15.6,14188,13119
60089,26.3,15.8,43227,33171
60090,27.4,22.5,39017,31469
60091,23.0,13.4,28053,20319
60093,24.0,13.2,20691,14789
60096,36.4,22.3,6760,5452
60097,34.2,22.4,10849,8454
60098,33.3,22.9,33153,25882
60099,40.6,27.7,31579,23233
60101,33.3,26.3,37644,29176
60102,31.4,19.2,31959,24938
60103,27.4,18.5,41740,32452
60104,38.9,29.2,18829,14765
60106,34.1,26.0,20562,15879
60107,28.6,23.7,39535,31009
60108,29.6,21.2,23070,18852
60109,34.2,20.2,580,453
60110,37.7,27.5,38762,27314
60111,35.7,23.0,258,202
60112,35.9,20.7,4560,3247
60113,43.4,23.6,255,185
60115,37.4,26.0,42103,33476
60118,33.3,19.8,16342,13332
60119,32.5,16.4,10905,8300
60120,35.9,29.3,50799,37705
60123,37.3,26.6,47932,36683
60124,31.4,18.2,24859,18767
60126,28.0,15.8,48147,36125
60129,40.1,24.1,213,163
60130,30.6,19.2,14346,12514
60131,31.4,26.6,18205,14203
60133,30.3,24.1,37494,27973
60134,31.2,15.4,30503,22836
60135,37.3,24.5,7292,5569
60136,32.3,17.7,8497,6025
60137,29.1,17.0,38985,29231
60139,30.9,25.3,33196,25433
60140,33.5,19.0,21902,15932
60141,34.4,31.5,131,113
60142,30.8,22.6,29831,23319
60143,28.8,18.1,11214,8828
60144,34.5,18.5,71,53
60145,36.1,22.1,2350,1822
60146,36.1,22.6,2420,1851
60148,29.8,19.2,52794,42008
60150,35.6,22.0,1713,1299
60151,34.2,19.5,3997,3179
60152,33.7,22.9,12382,9650
60153,39.6,32.1,23512,17702
60154,28.9,19.9,16895,14022
60155,38.0,28.7,8011,6518
60156,31.9,19.4,28982,21561
60157,30.4,19.2,2668,2010
60160,34.6,31.8,24776,18474
60162,34.1,25.9,8337,6636
60163,34.1,26.6,5285,4255
60164,32.3,29.4,22367,17317
60165,37.2,37.1,4576,3359
60169,26.2,21.1,34248,26707
60171,31.7,23.8,10612,8546
60172,30.1,19.7,24560,19410
60173,22.3,17.0,13764,10994
60174,32.3,18.0,30958,24372
60175,31.4,16.0,26024,19589
60176,30.0,22.9,11714,9348
60177,34.0,21.1,24361,18143
60178,34.0,19.3,22386,17032
60180,31.1,19.1,1568,1241
60181,31.0,20.2,29821,23335
60183,31.1,14.7,71,51
60184,29.4,17.0,2326,1908
60185,33.1,24.2,34775,26094
60187,28.0,16.0,30059,23392
60188,29.2,20.2,43053,33504
60189,28.5,15.5,30377,23506
60190,29.8,17.8,11455,9093
60191,32.0,23.3,14456,11829
60192,23.2,17.3,16550,12741
60193,26.0,19.0,40805,32128
60194,25.1,20.1,20622,16110
60195,22.0,16.2,5150,4073
60201,25.1,17.0,44652,37007
60202,28.1,16.7,33245,26496
60203,25.8,15.7,4634,3453
60208,17.9,16.4,213,201
60301,24.9,13.2,3043,2696
60302,27.5,15.6,33698,26398
60304,27.4,14.4,17842,13031
60305,24.7,14.4,11710,8807
60401,38.4,25.2,8156,6388
60402,32.8,26.2,64706,49417
60403,39.9,27.7,17667,14041
60404,36.6,21.6,19916,15245
60406,36.8,30.1,24011,18092
60407,38.3,24.4,1532,1226
60408,40.2,24.7,5601,4327
60409,41.2,31.3,36045,27725
60410,36.7,20.7,13503,10029
60411,39.0,31.1,53515,39616
60415,31.2,22.6,14433,11142
60416,36.7,22.5,9512,7113
60417,40.6,26.2,15342,12551
60418,30.1,22.4,10813,9194
60419,42.3,30.2,21409,16501
60420,36.3,26.0,4701,3751
60421,39.0,25.5,3734,3032
60422,31.4,18.4,9927,7746
60423,35.7,19.3,32784,24830
60424,38.2,25.3,2102,1666
60425,37.9,26.0,8781,6936
60426,41.7,35.7,24114,18159
60428,40.8,32.2,11351,8254
60429,38.8,27.2,14683,11122
60430,32.5,20.8,20146,15634
60431,39.5,23.0,26853,19763
60432,47.0,38.9,19989,14192
60433,46.5,37.2,16526,12378
60435,41.6,29.3,48927,37273
60436,44.7,33.1,18535,14004
60437,37.5,23.6,168,125
60438,35.4,25.3,29661,22857
60439,27.1,17.6,24327,19130
60440,40.1,27.8,52031,39477
60441,38.3,22.2,37093,28646
60442,37.0,19.5,12218,8726
60443,35.9,23.9,21309,16734
60444,36.3,22.7,1784,1299
60445,32.2,23.9,14692,11324
60446,39.1,26.8,40465,30346
60447,36.3,19.7,15750,11175
60448,36.3,20.0,25512,19807
60449,40.4,25.5,8961,7199
60450,36.6,23.7,20877,16299
60451,35.9,18.9,36561,27242
60452,29.0,20.0,27363,21462
60453,30.2,22.6,58362,45758
60455,30.6,24.2,17098,13091
60456,31.1,23.6,4343,3498
60457,30.1,22.2,14420,11265
60458,34.1,26.1,14504,10947
60459,31.2,26.4,29451,22530
60460,36.5,25.5,1449,1114
60461,34.6,23.7,4785,4092
60462,27.4,19.0,40539,32513
