zcta5,obesity_pct,physical_inactivity_pct,totalpopulation,totalpop18plus,gym_count,gyms_per_10000_adults
48627,38.8,28.0,164,149,0.0,0.0
48628,34.1,23.8,1864,1533,0.0,0.0
48629,39.0,28.6,7420,6369,0.0,0.0
48630,39.7,30.7,227,198,0.0,0.0
48631,36.1,23.6,4260,3446,0.0,0.0
48632,40.0,29.1,4987,4089,0.0,0.0
48633,40.0,32.4,305,278,0.0,0.0
48634,37.3,25.4,4152,3336,0.0,0.0
48635,38.9,29.4,1471,1257,0.0,0.0
48636,39.2,32.7,812,702,0.0,0.0
48637,34.8,28.3,3120,2448,0.0,0.0
48638,32.8,25.1,13199,10621,0.0,0.0
48640,31.8,21.5,31840,24851,0.0,0.0
48642,31.3,20.3,33457,25914,0.0,0.0
48647,39.5,32.1,4004,3137,0.0,0.0
48649,35.9,30.3,1634,1320,0.0,0.0
48650,38.1,26.8,6807,5465,0.0,0.0
48651,40.4,30.7,4396,3760,0.0,0.0
48652,38.2,25.6,1679,1364,0.0,0.0
48653,37.0,26.0,9598,8192,0.0,0.0
48654,39.3,30.2,2284,1902,0.0,0.0
48655,34.3,27.1,6033,4829,0.0,0.0
48656,42.9,33.9,3857,3324,0.0,0.0
48657,32.9,22.9,7686,6268,0.0,0.0
48658,38.7,28.1,4871,3874,0.0,0.0
48659,39.3,27.6,2640,2078,0.0,0.0
48661,38.4,28.1,10535,8490,0.0,0.0
48662,35.4,26.3,1439,1147,0.0,0.0
48701,41.2,26.5,1268,997,0.0,0.0
48703,37.5,28.1,3073,2633,0.0,0.0
48705,40.3,31.6,500,467,0.0,0.0
48706,37.5,26.1,39381,31808,0.0,0.0
48708,40.4,29.5,25860,20518,0.0,0.0
48720,38.5,27.0,1041,854,0.0,0.0
48721,38.6,29.4,398,353,0.0,0.0
48722,34.6,28.8,3137,2521,0.0,0.0
48723,42.7,29.6,11953,9530,0.0,0.0
48724,41.2,36.1,431,336,0.0,0.0
48725,37.0,26.8,1983,1736,0.0,0.0
48726,40.4,27.2,6206,4742,0.0,0.0
48727,37.5,26.7,1168,917,0.0,0.0
48728,41.1,32.2,284,251,0.0,0.0
48729,41.1,26.5,1521,1182,0.0,0.0
48730,37.0,28.4,4443,3732,0.0,0.0
48731,40.1,28.7,1568,1218,0.0,0.0
48732,37.4,25.4,11177,9005,0.0,0.0
48733,42.1,28.1,1657,1334,0.0,0.0
48734,29.4,22.2,7350,6007,0.0,0.0
48735,40.3,25.9,898,726,0.0,0.0
48737,42.1,33.4,1104,975,0.0,0.0
48738,39.9,29.5,1163,1018,0.0,0.0
48739,39.0,31.7,3636,3066,0.0,0.0
48740,39.2,28.9,2378,1995,0.0,0.0
48741,41.5,26.5,1941,1494,0.0,0.0
48742,37.5,27.9,1701,1462,0.0,0.0
48744,41.4,27.2,4525,3540,0.0,0.0
48745,39.8,29.3,1170,994,0.0,0.0
48746,41.7,27.7,8163,6466,0.0,0.0
48747,37.6,25.6,1453,1134,0.0,0.0
48748,38.5,31.1,1678,1465,0.0,0.0
48749,39.6,28.2,1118,902,0.0,0.0
48750,39.8,31.5,8978,7346,0.0,0.0
48754,38.4,27.3,978,738,0.0,0.0
48755,37.7,28.1,3077,2491,0.0,0.0
48756,42.8,34.3,4057,3282,0.0,0.0
48757,37.2,23.8,3511,2800,0.0,0.0
48759,39.0,28.4,3266,2607,0.0,0.0
48760,39.2,26.9,1285,1004,0.0,0.0
48761,41.2,35.0,852,758,0.0,0.0
48762,36.5,25.0,1080,929,0.0,0.0
48763,37.2,28.5,4949,4108,0.0,0.0
48765,37.3,29.3,742,609,0.0,0.0
48766,38.6,28.1,1158,962,0.0,0.0
48767,40.6,25.6,2008,1526,0.0,0.0
48768,41.6,27.0,9648,7494,0.0,0.0
48770,40.1,32.5,1848,1456,0.0,0.0
48801,35.7,25.5,13006,9231,0.0,0.0
48806,37.4,28.6,1580,1250,0.0,0.0
48807,36.8,29.0,779,617,0.0,0.0
48808,34.0,19.9,5830,4607,0.0,0.0
48809,40.0,25.9,11245,8728,0.0,0.0
48811,46.3,27.4,8137,7327,0.0,0.0
48813,39.8,25.9,21068,16383,0.0,0.0
48815,37.4,21.3,2297,1746,0.0,0.0
48816,35.8,23.2,102,84,0.0,0.0
48817,38.1,25.8,5714,4646,0.0,0.0
48818,41.6,26.9,2302,1821,0.0,0.0
48819,35.2,21.2,2601,2023,0.0,0.0
48820,33.0,18.4,17944,13513,0.0,0.0
48821,37.6,22.8,5987,4936,0.0,0.0
48822,34.3,19.7,2814,2211,0.0,0.0
48823,32.6,22.2,51793,43930,0.0,0.0
48824,33.4,27.4,2216,2200,0.0,0.0
48825,32.1,24.1,12127,12065,0.0,0.0
48827,38.8,23.8,15889,12348,0.0,0.0
48829,42.9,29.1,3426,2584,0.0,0.0
48831,37.1,25.9,3320,2610,0.0,0.0
48832,38.0,28.7,1386,1136,0.0,0.0
48834,42.5,28.5,2284,1729,0.0,0.0
48835,34.0,20.9,2573,1935,0.0,0.0
48836,34.8,23.8,14183,10763,0.0,0.0
48837,36.9,21.0,19189,14857,0.0,0.0
48838,40.8,26.0,18801,14369,0.0,0.0
48840,33.8,19.4,12665,10242,0.0,0.0
48841,37.8,26.5,798,638,0.0,0.0
48842,35.4,21.7,21548,16695,0.0,0.0
48843,32.5,20.9,47704,37203,0.0,0.0
48845,41.5,28.5,937,724,0.0,0.0
48846,43.0,27.0,22470,18496,0.0,0.0
48847,36.2,27.2,5886,4657,0.0,0.0
48848,36.4,22.1,7771,6036,0.0,0.0
48849,38.6,24.5,5904,4561,0.0,0.0
48850,41.1,28.0,4563,3457,0.0,0.0
48851,38.6,23.2,2394,1872,0.0,0.0
48852,44.0,29.4,137,114,0.0,0.0
48853,37.6,25.4,545,431,0.0,0.0
48854,33.8,19.6,19804,15297,0.0,0.0
48855,32.5,21.1,16656,12789,0.0,0.0
48856,35.0,24.3,830,670,0.0,0.0
48857,39.5,26.0,2521,1942,0.0,0.0
48858,40.2,26.0,41844,34206,0.0,0.0
48859,42.4,34.8,2424,2412,0.0,0.0
48860,39.3,24.7,1309,1008,0.0,0.0
48861,39.0,23.3,1544,1158,0.0,0.0
48864,28.9,16.8,22804,17411,0.0,0.0
48865,42.3,27.1,1756,1372,0.0,0.0
48866,39.0,27.4,4728,3645,0.0,0.0
48867,39.4,27.4,27596,21687,0.0,0.0
48870,42.8,30.2,132,94,0.0,0.0
48871,35.1,24.4,1994,1581,0.0,0.0
48872,38.4,24.5,7390,5750,0.0,0.0
48873,37.8,23.5,1535,1119,0.0,0.0
48874,35.1,24.8,158,121,0.0,0.0
48875,37.4,20.9,10582,7931,0.0,0.0
48876,40.2,24.6,4419,3336,0.0,0.0
48877,40.4,28.7,2300,1816,0.0,0.0
48878,41.5,27.7,1586,1205,0.0,0.0
48879,36.1,23.6,17980,13871,0.0,0.0
48880,41.0,29.7,10495,8973,0.0,0.0
48881,39.8,24.2,5438,4199,0.0,0.0
48883,40.3,26.4,6842,5252,0.0,0.0
48884,42.2,27.7,4305,3271,0.0,0.0
48885,42.8,27.4,960,745,0.0,0.0
48886,42.3,28.1,2062,1640,0.0,0.0
48888,42.7,28.1,6258,4936,0.0,0.0
48889,36.6,27.1,1450,1165,0.0,0.0
48890,40.1,25.3,2073,1579,0.0,0.0
48891,44.4,29.8,2828,2192,0.0,0.0
48892,35.3,21.5,4763,3591,0.0,0.0
48893,41.9,28.0,5400,4217,0.0,0.0
48894,32.6,19.8,2364,1688,0.0,0.0
48895,34.0,19.3,11472,8891,0.0,0.0
48896,42.7,27.1,152,116,0.0,0.0
48897,39.0,27.7,1470,1142,0.0,0.0
48906,38.9,25.8,25674,19822,0.0,0.0
