year,zcta5,measure,data_value,data_value_type,totalpopulation,totalpop18plus
2023,01235,Physical Inactivity,22.1,Crude prevalence,2733,2308
2023,01235,Obesity,31.8,Crude prevalence,2733,2308
2023,01236,Physical Inactivity,17.4,Crude prevalence,1513,1200
2023,01236,Obesity,28.6,Crude prevalence,1513,1200
2023,01237,Physical Inactivity,20.3,Crude prevalence,2365,1932
2023,01237,Obesity,31.2,Crude prevalence,2365,1932
2023,01238,Physical Inactivity,20.3,Crude prevalence,5722,4855
2023,01238,Obesity,29.4,Crude prevalence,5722,4855
2023,01240,Physical Inactivity,21.7,Crude prevalence,4692,4022
2023,01240,Obesity,28.4,Crude prevalence,4692,4022
2023,01242,Physical Inactivity,18.5,Crude prevalence,449,375
2023,01242,Obesity,29.6,Crude prevalence,449,375
2023,01243,Physical Inactivity,18.8,Crude prevalence,175,151
2023,01243,Obesity,24.1,Crude prevalence,175,151
2023,01244,Physical Inactivity,19.5,Crude prevalence,287,250
2023,01244,Obesity,31.8,Crude prevalence,287,250
2023,01245,Physical Inactivity,19.2,Crude prevalence,933,826
2023,01245,Obesity,28.8,Crude prevalence,933,826
2023,01247,Physical Inactivity,25.6,Crude prevalence,15147,12522
2023,01247,Obesity,33.5,Crude prevalence,15147,12522
2023,01253,Physical Inactivity,21.2,Crude prevalence,808,703
2023,01253,Obesity,30.7,Crude prevalence,808,703
2023,01254,Physical Inactivity,20.9,Crude prevalence,946,829
2023,01254,Obesity,30.0,Crude prevalence,946,829
2023,01255,Physical Inactivity,20.8,Crude prevalence,959,809
2023,01255,Obesity,30.3,Crude prevalence,959,809
2023,01256,Physical Inactivity,23.6,Crude prevalence,645,578
2023,01256,Obesity,32.9,Crude prevalence,645,578
2023,01257,Physical Inactivity,20.6,Crude prevalence,2140,1816
2023,01257,Obesity,30.2,Crude prevalence,2140,1816
2023,01258,Physical Inactivity,18.5,Crude prevalence,160,146
2023,01258,Obesity,28.3,Crude prevalence,160,146
2023,01259,Physical Inactivity,20.4,Crude prevalence,643,536
2023,01259,Obesity,30.0,Crude prevalence,643,536
2023,01260,Physical Inactivity,19.1,Crude prevalence,233,183
2023,01260,Obesity,28.4,Crude prevalence,233,183
2023,01262,Physical Inactivity,21.1,Crude prevalence,1758,1564
2023,01262,Obesity,29.5,Crude prevalence,1758,1564
